family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F4_Spectral,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.41766233766233773,0.011904761904761973,0.2266213839975335,0.01394181869839925
F4_Spectral,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.4611521811521812,0.0,0.08354479903740031,-0.0018257457196105553
F4_Spectral,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.43829059829059835,0.007634718222953585,0.11668215165724449,0.00999483269357862
F5_Temporal,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.5262781954887218,0.07297732925583689,0.23289755629300912,0.02028579524055754
F5_Temporal,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5592185592185592,0.04778998778998789,0.14864447385297885,0.01472075812592924
F5_Temporal,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.47727272727272724,0.07151515151515148,0.32781548513109215,0.02345008781107394
F5_Temporal,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.5561771561771562,0.09502497502497503,0.13951955133094018,0.016467517128323228
F5_Temporal,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5127272727272728,0.08207139265962804,0.31561071485702596,0.026504817896903815
F9_Quality,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.5118530020703933,0.0585521358375084,0.08125630291276642,0.011072668601530222
F9_Quality,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5612387612387613,0.04981018981018992,0.05866027325901557,0.009061568258634148
F9_Quality,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.39666666666666667,-0.009090909090909094,0.10773850361433612,0.009772022524493107
F9_Quality,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.5603729603729604,0.09922077922077915,0.05991940619750591,0.013017837208397082
